species,test_accuracy,auc_score,n_presences,n_training_points,n_predictions,top_environmental_factor,top_factor_importance
Egretta sacra,0.9318181818181818,0.9120729813664596,1835,1976,3112,bio18,0.11599629369695752
Dendrocopos analis,1.0,1.0,1295,1437,3112,distance_to_coast,0.26988455255132304
Catopsilia pomona,0.8816326530612245,0.7821757735352206,1083,1224,3112,bio17,0.05731025734730748
Dicrurus hottentottus,0.905982905982906,0.9313708999158957,1027,1170,3112,bio14,0.09283987683882382
Magnisudis atlantica,0.75,0.7983193277310925,35,117,3112,bio7,0.11329703324255434
Chalcophaps indica,0.9119496855345912,0.8021551724137932,1448,1588,3112,bio4,0.07441104164460527
Gallus varius,0.9775280898876404,0.9809473998804543,1191,1331,3112,bio3,0.15018466855904233
Parus cinereus,0.9377777777777778,0.9650108774474258,982,1122,3112,bio15,0.08758497204446662
Lonchura maja,0.9806763285024155,0.9843171724648409,1927,2069,3112,bio3,0.1202492873093771
Apus nipalensis,0.9174311926605505,0.8970377448638318,1494,1635,3112,distance_to_coast,0.14020748911338074
Merops ornatus,0.9299363057324841,0.9077797202797203,1427,1568,3112,population_density,0.1418857816129169
Numenius phaeopus,0.8951048951048951,0.8995016611295682,1288,1427,3112,bio18,0.10888365813228748
Lichmera indistincta,0.9629629629629629,0.9687131050767415,1206,1347,3112,bio19,0.1613958822247548
Tringa glareola,0.9188191881918819,0.9223985890652557,1214,1355,3112,bio14,0.10455285954875664
Ficedula westermanni,0.9025641025641026,0.9550898203592815,833,975,3112,bio9,0.15562439052781868
Rhipidura rufiventris,0.9781659388646288,0.9890724946695096,1001,1142,3112,population_density,0.1932674603427968
Phyllergates cuculatus,0.9617486338797814,0.9724585759068518,771,915,3112,bio11,0.1445038257427106
Spilornis cheela,0.9419795221843004,0.9182614555256066,1324,1464,3112,bio4,0.126586825206343
Prinia familiaris,0.9728506787330317,0.9782686781609196,962,1105,3112,distance_to_coast,0.16777797352938084
Columba livia,0.9211956521739131,0.8710084033613447,1696,1837,3112,bio17,0.08783313007543725
Hemipus hirundinaceus,0.9360730593607306,0.9461480927449514,951,1093,3112,distance_to_coast,0.12820985984876554
Anas gibberifrons,0.9377777777777778,0.9729064039408868,978,1121,3112,bio14,0.1295530460574213
Yungipicus moluccensis,0.9125,0.9193901617250673,1057,1198,3112,distance_to_coast,0.09825702479369898
Falco moluccensis,0.951048951048951,0.9415836101882614,1287,1427,3112,bio14,0.12384606546335167
Ducula bicolor,0.9141630901287554,0.9071428571428571,1021,1163,3112,bio2,0.11788089229599308
Caprimulgus affinis,0.9255663430420712,0.9081723436705642,1402,1543,3112,distance_to_coast,0.1046269892108971
Cisticola exilis,0.9539748953974896,0.9811986863711002,1052,1195,3112,distance_to_coast,0.07331138849556332
Zosterops citrinella,0.971830985915493,0.9748069498069498,923,1064,3112,bio3,0.21667738799278094
Zosterops chloris,0.9385245901639344,0.9802726543704892,1073,1216,3112,bio14,0.10234335832752416
Nycticorax nycticorax,0.9238578680203046,0.9700328407224958,839,981,3112,distance_to_coast,0.15576311751391494
Phalacrocorax sulcirostris,0.9329896907216495,0.9693834900731452,824,967,3112,bio14,0.08682596413744702
Eudynamys scolopaceus,0.861244019138756,0.9064719810576164,903,1045,3112,bio3,0.08847303807206465
Cecropis striolata,0.961038961038961,0.9865411681914145,1010,1151,3112,bio3,0.24958082690959507
Lonchura atricapilla,0.9207547169811321,0.9475452951490356,1181,1325,3112,bio14,0.098651646556848
Psilopogon armillaris,1.0,1.0,666,808,3112,distance_to_coast,0.19136443898661384
Motacilla cinerea,0.8702928870292888,0.9029282329045363,1053,1195,3112,elevation,0.09204534573061779
Chlidonias hybrida,0.8828828828828829,0.874079528718704,965,1106,3112,bio18,0.09093459837502377
Papilio memnon,0.8716814159292036,0.9180194805194807,989,1130,3112,distance_to_coast,0.0808899274097429
